hypothesis,estimate_1,estimate_2,difference,h3_pvalue
H1: onset_growth > onset_count (AUC),0.8262050997782705,0.686958980044346,0.13924611973392453,
H2: growth+acceleration > growth-only (AUC),0.8244822616407983,0.8262050997782705,-0.0017228381374722046,
H3: RF ROC-AUC > chance (0.5),0.8664767184035476,0.5,0.36647671840354756,0.004975124378109453
