feature,importance
onset_growth,0.4506501042699629
onset_acceleration,0.1365399565720675
relative_onset,0.08724811445303329
onset_count,0.07278321633510763
baseline,0.07263057092226516
pre_wave_mean,0.07217962619028502
pre_wave_trend,0.060760939157653765
state_enc,0.047207472099624774
