,precision,recall,f1-score,support
Dissipating,0.8494623655913979,0.8618181818181818,0.855595667870036,275.0
Escalating,0.81,0.7941176470588235,0.801980198019802,204.0
accuracy,0.8329853862212944,0.8329853862212944,0.8329853862212944,0.8329853862212944
macro avg,0.829731182795699,0.8279679144385026,0.828787932944919,479.0
weighted avg,0.8326558466338924,0.8329853862212944,0.8327615220465544,479.0
