model,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std
Random baseline,0.5741127348643007,0.0,0.5,0.0
Logistic Regression,0.7537061403508772,0.04798220557040316,0.8051840354767185,0.02765436795589414
Random Forest,0.8329605263157894,0.028099337236931688,0.8664767184035476,0.03613079447736833
